food_name,serving_weight_g,energy_kcal,carbohydrate_g,sugar_g,fat_g,protein_g,calcium_mg,sodium_mg,potassium_mg,magnesium_mg,iron_mg,zinc_mg,cholesterol_mg,trans_fat_g,dm_score,htn_score,dl_score,obe_score,anem_score
미꾸라지튀김,100.0,382.13,30.57,0.0,22.541,12.687,342.025,323.256,192.595,11.2,4.4,1.643,121.3,0.0,100.0,100.0,94.8,100.0,96.3
새우튀김,100.0,311.256,21.828,0.0,19.643,11.827,39.881,553.887,183.428,5.95,1.079,0.909,165.9,0.0,100.0,98.4,91.2,100.0,68.1
생선가스,200.0,646.2112,57.3754,0.0,37.0906,24.5016,34.1632,817.2735,229.9485,,1.9516,1.4309,176.3,0.0,88.5,88.4,81.1,81.0,83.1
쥐포튀김,100.0,353.33,37.99,0.0,16.541,11.207,26.865,423.7992,145.28,13.7,1.002,0.476,75.64,0.0,100.0,100.0,100.0,100.0,66.3
오징어튀김,100.0,308.426,26.016,0.0,16.496,13.459,21.981,361.571,186.938,22.22,0.741,0.99,133.0,0.0,100.0,100.0,97.3,100.0,67.0
닭강정,100.0,323.251,24.21,1.7421,15.563,18.335,18.976,413.137,104.223,5.75,1.371,2.001,107.5,0.0,100.0,100.0,100.0,100.0,76.8
닭튀김,300.0,909.8054,45.9186,0.0,52.3421,54.5461,94.7459,1150.1313,512.2792,,5.4462,6.0813,380.625,0.0,80.8,74.8,45.9,53.4,100.0
돈가스,200.0,620.6445,36.556,0.0,39.1172,27.778,31.3595,557.0933,685.786,,2.2021,3.0419,138.339,0.0,95.3,100.0,85.0,82.6,91.2
모래집튀김,150.0,457.345,31.8612,0.0,25.8944,22.2894,72.275,297.01,459.0222,,1.4672,0.861,137.648,0.0,100.0,100.0,92.4,100.0,76.3
양념치킨,200.0,567.582,38.84,12.364,31.146,30.466,51.002,777.856,381.256,,3.348,3.524,259.0,0.0,93.0,92.5,75.8,91.2,100.0
치즈돈가스,250.0,758.496,45.4848,0.0,46.1472,36.0192,72.78,855.0456,569.976,,2.5104,3.6048,146.4,0.0,88.5,93.3,77.6,68.5,95.0
치킨가스,200.0,582.008,51.2753,0.0,28.6444,31.0327,32.6477,748.7311,384.2636,,2.0254,2.0235,113.297,0.0,97.8,96.7,94.9,93.2,88.1
탕수육,200.0,454.4382,56.4889,1.8981,16.587,17.062,36.4382,403.256,468.9466,,2.1223,1.6758,76.475,0.0,99.1,100.0,100.0,100.0,81.6
깐풍기,200.0,585.076,43.362,13.944,33.34,27.796,41.022,629.272,523.54,,2.734,1.93,173.0,0.0,89.5,100.0,84.4,86.8,93.0
감자튀김,150.0,462.105,50.1,0.0,25.7625,6.24,10.32,374.2185,344.2425,,1.4265,0.459,0.0,0.0,97.0,100.0,94.3,96.0,66.8
고구마맛탕,200.0,490.9275,90.1908,1.4307,13.5324,3.3033,108.3348,213.3306,587.223,,3.6099,1.1319,0.0,0.0,78.7,100.0,100.0,94.2,86.3
고구마튀김,100.0,241.566,34.1,0.0,10.796,3.205,20.693,150.639,298.574,18.1,0.63,0.305,19.0,0.0,100.0,100.0,100.0,100.0,58.8
고추튀김,100.0,198.346,12.74,0.0,13.625,6.482,23.391,260.651,147.678,12.92,0.903,0.695,190.0,0.0,100.0,100.0,90.3,100.0,63.6
김말이튀김,100.0,240.562,32.486,0.0,12.38,2.248,28.85,393.022,123.57,0.64,1.279,0.218,0.0,0.0,100.0,100.0,100.0,100.0,62.9
채소튀김,100.0,311.99,36.349,0.0,18.532,3.013,33.33,277.28,274.17,11.29,0.519,0.326,0.0,0.0,100.0,100.0,98.3,100.0,57.5
노각무침,150.0,81.354,16.434,5.0865,2.0745,3.0855,38.8185,822.0975,573.201,,1.6665,0.8085,0.0,0.0,100.0,98.7,100.0,100.0,68.3
단무지무침,50.0,19.188,3.2155,0.974,0.9105,0.467,17.335,447.862,87.6395,,0.3735,0.169,0.0,0.0,100.0,100.0,100.0,100.0,54.0
달래나물무침,150.0,132.687,25.2555,13.536,3.3045,4.7715,119.646,852.993,554.058,,2.592,1.2015,0.0,0.0,92.5,99.3,100.0,99.6,78.3
더덕무침,150.0,220.8915,48.4395,31.5435,2.7405,4.89,35.7975,1203.5835,286.305,,2.49,0.3135,0.0,0.0,71.2,79.4,98.5,89.3,74.5
도라지생채,150.0,165.225,38.5905,2.997,1.71,4.146,75.06,789.078,725.8575,,6.405,0.396,0.0,0.0,100.0,100.0,100.0,100.0,88.1
도토리묵,100.0,43.046,9.87,1.399,0.346,0.398,8.817,116.473,41.835,1.205,0.462,0.12,0.0,0.0,100.0,100.0,100.0,100.0,54.6
마늘쫑무침,30.0,38.1177,9.3513,3.2781,0.2799,0.9843,9.2316,423.4554,95.6103,,0.3405,0.3774,0.0,0.0,100.0,100.0,100.0,100.0,54.5
무생채,150.0,73.68,16.0035,4.4955,1.2795,2.634,73.92,832.188,478.515,,1.779,0.7785,1.68,0.0,100.0,97.2,100.0,100.0,69.0
무말랭이,30.0,39.8895,9.6324,1.0326,0.3426,1.3629,35.8197,378.7764,252.6768,,0.9516,0.1752,0.0402,0.0,100.0,100.0,100.0,100.0,59.5
오이생채,50.0,23.3555,4.6255,1.515,0.496,0.885,14.8245,269.314,147.1285,,0.4445,0.2045,0.0,0.0,100.0,100.0,100.0,100.0,54.9
파무침,150.0,124.296,19.4745,8.367,5.406,3.8175,146.019,693.834,377.298,,2.388,0.4125,10.05,0.0,97.7,100.0,100.0,100.0,73.9
상추겉절이,200.0,130.62,17.988,1.998,6.246,5.648,136.84,952.32,850.54,,3.272,1.178,5.36,0.0,100.0,99.4,100.0,100.0,84.6
쑥갓나물무침,150.0,94.857,8.784,0.0,6.5055,5.4855,69.1725,700.1205,453.7485,,2.8695,0.4425,0.0,0.0,100.0,100.0,100.0,100.0,79.0
청포묵무침,250.0,157.61,19.675,13.7375,4.225,2.955,67.0375,756.74,334.025,,1.9375,0.7425,2.35,0.0,92.1,96.6,100.0,98.8,70.4
해파리냉채,150.0,87.285,13.827,7.4925,1.545,6.6315,69.36,490.128,360.6,,5.346,0.984,17.625,0.0,99.3,100.0,100.0,100.0,90.9
가지나물,50.0,21.873,3.031,0.0,1.272,0.732,11.318,159.1745,125.287,,0.335,0.1435,0.0,0.0,100.0,100.0,100.0,100.0,53.7
고사리나물,50.0,43.508,3.799,0.0,3.2625,1.9655,20.348,251.53,302.39,,1.811,0.9375,0.0,0.0,100.0,100.0,100.0,100.0,69.3
도라지나물,50.0,54.675,5.335,0.0,3.819,0.6695,15.1,256.6675,104.9675,,0.9145,0.08,0.0,0.0,100.0,100.0,100.0,100.0,58.5
무나물,50.0,34.575,3.042,0.0,2.563,0.5755,18.045,293.5195,143.4275,,0.464,0.203,0.0,0.0,100.0,100.0,100.0,100.0,54.9
미나리나물,50.0,28.3435,2.5595,0.0,2.138,0.99,18.45,165.524,239.042,,1.1565,0.1935,0.0,0.0,100.0,100.0,100.0,100.0,61.1
숙주나물,50.0,19.509,1.559,0.0,1.347,1.312,10.11,186.733,85.4735,,0.3765,0.1895,0.0,0.0,100.0,100.0,100.0,100.0,54.5
시금치나물,50.0,37.511,3.815,0.0,2.3685,2.069,37.585,217.2565,311.2615,,1.765,0.4035,0.0,0.0,100.0,100.0,100.0,100.0,67.6
취나물,50.0,72.944,3.4555,0.0,6.7145,1.5965,58.384,288.6495,222.9795,,1.091,0.0295,0.0,0.0,100.0,100.0,100.0,100.0,60.4
콩나물,50.0,24.129,1.145,0.0,1.979,1.6395,12.78,203.4965,78.364,,0.4315,0.2285,0.0,0.0,100.0,100.0,100.0,100.0,55.2
