number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_subsample,user_attrs_best_thr,user_attrs_fold_recall_std,user_attrs_oof_auc,user_attrs_oof_f1,user_attrs_oof_recall,state
58,0.26102030708271423,2026-05-15 17:01:17.406798,2026-05-15 17:01:18.589305,0 days 00:00:01.182507,0.8444774507825917,0.07154901258265821,4,47,998,45,0.7985545288501705,0.45,0.0361,0.8002,0.3951,0.812,COMPLETE
59,,2026-05-15 17:01:18.589533,2026-05-15 17:01:20.137458,0 days 00:00:01.547925,0.8334768045105501,0.043084629618629404,5,45,973,43,0.7780014077581249,,,,,,PRUNED
60,0.26393110435663625,2026-05-15 17:01:20.137694,2026-05-15 17:01:21.314606,0 days 00:00:01.176912,0.6425129867643463,0.05473264316211425,3,36,931,54,0.6868278087218999,0.5,0.0342,0.8078,0.3973,0.8028,COMPLETE
61,0.2588408644400786,2026-05-15 17:01:21.314873,2026-05-15 17:01:22.512097,0 days 00:00:01.197224,0.628833246805474,0.05437706050820245,3,36,922,54,0.6851557000036694,0.49,0.0357,0.8075,0.3926,0.812,COMPLETE
62,0.2679031427099433,2026-05-15 17:01:22.512342,2026-05-15 17:01:23.597609,0 days 00:00:01.085267,0.648928998931179,0.06667864560404348,3,34,878,53,0.7498617727134627,0.5,0.0355,0.8075,0.4015,0.8012,COMPLETE
63,0.2588001983143282,2026-05-15 17:01:23.597835,2026-05-15 17:01:24.912851,0 days 00:00:01.315016,0.6375412513988905,0.04713655348315864,3,34,845,55,0.7460141034985194,0.49,0.017,0.8058,0.3916,0.8043,COMPLETE
64,0.2661907190209077,2026-05-15 17:01:24.913076,2026-05-15 17:01:26.114935,0 days 00:00:01.201859,0.6490812565810999,0.06243110142107653,3,37,941,53,0.7156338727700225,0.5,0.0394,0.8071,0.4,0.8043,COMPLETE
65,0.26632653061224487,2026-05-15 17:01:26.115179,2026-05-15 17:01:27.253395,0 days 00:00:01.138216,0.6490971721030666,0.06052687053995861,3,30,877,60,0.6418281609092584,0.5,0.0388,0.8069,0.4002,0.8043,COMPLETE
66,0.2597917699553793,2026-05-15 17:01:27.253626,2026-05-15 17:01:28.576246,0 days 00:00:01.322620,0.606939206540878,0.05244089589237618,3,29,955,62,0.6370706152833916,0.49,0.0273,0.8067,0.3931,0.8074,COMPLETE
67,0.25504322766570603,2026-05-15 17:01:28.576495,2026-05-15 17:01:29.713746,0 days 00:00:01.137251,0.647762600094917,0.06152342859170721,3,32,872,58,0.6644439324628233,0.47,0.0298,0.8033,0.3889,0.8182,COMPLETE
68,0.2600297176820208,2026-05-15 17:01:29.714024,2026-05-15 17:01:31.781478,0 days 00:00:02.067454,0.6674334041821591,0.023890068327195115,3,30,1000,57,0.6105603457046697,0.49,0.0293,0.8068,0.3936,0.8089,COMPLETE
69,,2026-05-15 17:01:31.781749,2026-05-15 17:01:33.170043,0 days 00:00:01.388294,0.6209521230706132,0.057527536533442475,4,34,838,59,0.715101003431121,,,,,,PRUNED
70,0.2620724346076459,2026-05-15 17:01:33.170296,2026-05-15 17:01:34.775613,0 days 00:00:01.605317,0.641404092542188,0.04080371961490206,3,25,393,53,0.6699052350397718,0.49,0.0247,0.8057,0.3951,0.8028,COMPLETE
71,0.254694270582571,2026-05-15 17:01:34.775846,2026-05-15 17:01:35.811368,0 days 00:00:01.035522,0.6817809835159871,0.06649322521791197,3,36,894,51,0.6387874735952045,0.45,0.1564,0.7961,0.3881,0.8151,COMPLETE
72,0.2585438335809807,2026-05-15 17:01:35.811609,2026-05-15 17:01:36.890979,0 days 00:00:01.079370,0.6926710916190599,0.0623397582189979,3,37,748,55,0.6919202964331159,0.47,0.0983,0.7997,0.3913,0.8043,COMPLETE
73,0.2564982834722903,2026-05-15 17:01:36.891204,2026-05-15 17:01:37.955794,0 days 00:00:01.064590,0.665577896236831,0.07695970807255899,3,39,790,56,0.6515091207488058,0.46,0.1091,0.7986,0.3891,0.8059,COMPLETE
74,0.25947808961102903,2026-05-15 17:01:37.956033,2026-05-15 17:01:39.306678,0 days 00:00:01.350645,0.6534662330376481,0.053830434571324685,3,34,865,53,0.7555614845460382,0.49,0.0302,0.8065,0.3933,0.812,COMPLETE
75,0.259682224428997,2026-05-15 17:01:39.306917,2026-05-15 17:01:40.636827,0 days 00:00:01.329910,0.623443310971094,0.049245449062789916,3,32,937,60,0.7259215355685866,0.49,0.0197,0.8055,0.3928,0.8059,COMPLETE
76,0.26073926073926074,2026-05-15 17:01:40.637051,2026-05-15 17:01:41.535066,0 days 00:00:00.898015,0.6792125452400047,0.08994016688167471,3,40,975,50,0.741786792973649,0.48,0.0128,0.8024,0.3938,0.8043,COMPLETE
77,,2026-05-15 17:01:41.535291,2026-05-15 17:01:43.132904,0 days 00:00:01.597613,0.7017325849426975,0.03721038513628409,4,36,217,63,0.7077422460129431,,,,,,PRUNED
78,0.2567829457364341,2026-05-15 17:01:43.133120,2026-05-15 17:01:44.529526,0 days 00:00:01.396406,0.6609505990169589,0.07366549848345408,4,38,818,54,0.7693305200688713,0.44,0.123,0.7968,0.3907,0.8166,COMPLETE
79,,2026-05-15 17:01:44.529750,2026-05-15 17:01:47.966912,0 days 00:00:03.437162,0.707014177804642,0.06616065199311127,8,23,906,51,0.6759740014119402,,,,,,PRUNED
80,0.25556631171345595,2026-05-15 17:01:47.967146,2026-05-15 17:01:49.109735,0 days 00:00:01.142589,0.6157163845545257,0.08349961901678023,3,30,515,49,0.6197741027855456,0.45,0.1168,0.7976,0.389,0.8136,COMPLETE
81,,2026-05-15 17:01:49.109963,2026-05-15 17:01:50.555684,0 days 00:00:01.445721,0.635779121818828,0.05762893798332968,4,39,933,46,0.7724165128154498,,,,,,PRUNED
82,,2026-05-15 17:01:50.555961,2026-05-15 17:01:52.675666,0 days 00:00:02.119705,0.6470982829908206,0.0745227912955518,6,41,961,41,0.789210940520168,,,,,,PRUNED
83,0.25334608030592737,2026-05-15 17:01:52.675895,2026-05-15 17:01:53.744421,0 days 00:00:01.068526,0.6006586289673885,0.06917862613328572,3,43,881,38,0.7612666794192516,0.45,0.1387,0.7956,0.3867,0.8166,COMPLETE
84,0.25650916104146576,2026-05-15 17:01:53.744655,2026-05-15 17:01:55.768537,0 days 00:00:02.023882,0.6879549242242274,0.06330842208167534,5,37,920,50,0.7199829237493851,0.43,0.0702,0.8012,0.3907,0.8197,COMPLETE
85,0.2599601593625498,2026-05-15 17:01:55.768780,2026-05-15 17:01:56.584666,0 days 00:00:00.815886,0.7265157069264462,0.09133460098205594,3,33,861,47,0.736106908157807,0.48,0.0606,0.8014,0.3929,0.8043,COMPLETE
86,0.25742092457420923,2026-05-15 17:01:56.584921,2026-05-15 17:01:57.501927,0 days 00:00:00.917006,0.7600439414965673,0.07788352646953559,3,35,833,53,0.6941426157612551,0.47,0.0355,0.8028,0.3913,0.8151,COMPLETE
87,0.2605042016806723,2026-05-15 17:01:57.502202,2026-05-15 17:01:58.609397,0 days 00:00:01.107195,0.7940554412703424,0.08264773709296469,4,39,699,16,0.8084247038379206,0.47,0.0276,0.8049,0.3945,0.812,COMPLETE
88,0.26531645569620255,2026-05-15 17:01:58.609642,2026-05-15 17:01:59.818005,0 days 00:00:01.208363,0.6741750684092407,0.059489393117734025,3,43,934,44,0.7546541615858655,0.5,0.0401,0.8067,0.3994,0.8074,COMPLETE
