number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_subsample,user_attrs_best_thr,user_attrs_fold_recall_std,user_attrs_oof_auc,user_attrs_oof_f1,user_attrs_oof_recall,state
66,0.2648539778449144,2026-05-15 17:09:32.358010,2026-05-15 17:09:33.205042,0 days 00:00:00.847032,0.6775824711773295,0.09793146060710299,3,45,700,48,0.8119625516393192,0.5,0.0306,0.8082,0.3992,0.8105,COMPLETE
67,0.2627332324760464,2026-05-15 17:09:33.205286,2026-05-15 17:09:34.467848,0 days 00:00:01.262562,0.6136882137054076,0.0844738654178155,4,43,395,58,0.7887536360595209,0.47,0.0305,0.802,0.3959,0.8028,COMPLETE
68,0.2651091924834942,2026-05-15 17:09:34.468099,2026-05-15 17:09:38.450788,0 days 00:00:03.982689,0.6547072522062275,0.051317736342608715,8,47,268,40,0.7475895350753168,0.4,0.028,0.7979,0.3988,0.8043,COMPLETE
69,0.26156141223272006,2026-05-15 17:09:38.451029,2026-05-15 17:09:39.593328,0 days 00:00:01.142299,0.6308156771744283,0.06183301913666253,3,50,297,56,0.7123999523418807,0.49,0.0229,0.8079,0.3955,0.8105,COMPLETE
70,0.2596439169139466,2026-05-15 17:09:39.594034,2026-05-15 17:09:40.785813,0 days 00:00:01.191779,0.7854882951513885,0.07357206999971165,4,37,522,44,0.6670924470348586,0.47,0.0205,0.8043,0.3931,0.8089,COMPLETE
71,0.26119402985074625,2026-05-15 17:09:40.786052,2026-05-15 17:09:42.386961,0 days 00:00:01.600909,0.6002482105641932,0.04546405423466494,3,46,434,54,0.7661783280762712,0.48,0.0351,0.8081,0.3949,0.8089,COMPLETE
72,0.26461693548387094,2026-05-15 17:09:42.387216,2026-05-15 17:09:46.958013,0 days 00:00:04.570797,0.6129820553853758,0.020070260605376117,5,48,462,56,0.7333759834378213,0.46,0.0273,0.805,0.3988,0.8089,COMPLETE
73,0.26544155181214907,2026-05-15 17:09:46.958253,2026-05-15 17:09:48.766876,0 days 00:00:01.808623,0.6465594326381133,0.027025085552200526,3,44,490,60,0.7444169085471831,0.5,0.0269,0.8079,0.3988,0.8012,COMPLETE
74,0.26241846462619167,2026-05-15 17:09:48.767128,2026-05-15 17:09:51.010926,0 days 00:00:02.243798,0.6475105749077076,0.026517895644864994,3,44,493,61,0.7514323008035712,0.49,0.039,0.8086,0.3959,0.8059,COMPLETE
75,,2026-05-15 17:09:51.011167,2026-05-15 17:09:52.730927,0 days 00:00:01.719760,0.6649936007137658,0.01747384449503401,3,41,561,60,0.6924233942483621,,,,,,PRUNED
76,0.2626008064516129,2026-05-15 17:09:52.731163,2026-05-15 17:09:53.647878,0 days 00:00:00.916715,0.6943395319959543,0.09269274778977775,3,34,348,63,0.8396314190074413,0.49,0.0263,0.8055,0.3957,0.8028,COMPLETE
